title,company,location,date,job_link,description,search_keyword
Ingénieur Full Stack,Leader Transport,"Tunis, Tunis, Tunisia",2026-02-04,https://tn.linkedin.com/jobs/view/ing%C3%A9nieur-full-stack-at-leader-transport-4337422258?position=11&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=tYfZDlo1lRE8ChMhfhcYEQ%3D%3D,,python developer
Ingénieur DevOps (Docker /python),Capgemini Engineering,"Tunis, Tunisia",2026-01-20,https://tn.linkedin.com/jobs/view/ing%C3%A9nieur-devops-docker-python-at-capgemini-engineering-4361971141?position=12&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=9lQ%2B44n7Zo4KM6hGYpHSow%3D%3D,,python developer
Développeur Full Stack Senior,Atlas énergies,"Tunis, Tunisia",2026-01-19,https://tn.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-senior-at-atlas-%C3%A9nergies-4360474454?position=13&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=2ONBaNQbMaXhpy6Yo6z8qw%3D%3D,"À propos de l’entreprise

Atlas Energies est une scale-up en hypercroissance qui opère au cœur des piliers de la société moderne : l’énergie, la technologie et la performance.

Portée par une croissance à trois chiffres, notre ambition est claire : transformer durablement la manière dont les entreprises consomment et pilotent leur énergie.

Chaque jour, nous accompagnons PME, ETI et grands comptes pour mieux acheter, mieux consommer et mieux gérer leur énergie, en combinant expertise métier, technologie et excellence humaine.



Tu rejoins Atlas Energies pour jouer un rôle clé dans notre phase de croissance : industrialiser, automatiser et digitaliser les processus métiers afin de garantir performance, fiabilité et scalabilité sur le long terme. En tant que développeur full stack senior, ton rôle dépasse le code : tu conçois des architectures solides, automatises des flux complexes, connectes des outils et structures la data pour accompagner une croissance rapide et durable.











Ici, ton travail a un vrai impact, tu construis des systèmes au cœur du business, avec une forte autonomie, des responsabilités qui évoluent vite et une trajectoire claire vers des rôles techniques clés. Tu rejoins une équipe ambitieuse, un projet en pleine croissance, des bureaux vivants et pleins d’ambiance.",python developer
Ingénieur Full Stack,The Win recrutement,"Tunis, Tunis, Tunisia",2026-02-02,https://tn.linkedin.com/jobs/view/ing%C3%A9nieur-full-stack-at-the-win-recrutement-4357564111?position=14&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=hJ%2F%2BZvHb4C1VMbVi9SwqCw%3D%3D,,python developer
Développeur Full Stack Senior,Be-Softilys Tunisie,"Ḥalq al-Wādī, Tunis, Tunisia",2026-02-03,https://tn.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-senior-at-be-softilys-tunisie-4368253806?position=15&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=g7C3wRKpGsjnMbLxT%2BZn9A%3D%3D,"Dans le cadre de notre croissance, nous recrutons un Développeur Senior Full Stack Spring Boot / Angular, au sein d’une équipe pluridisciplinaire fonctionnant en mode Agile. Vous serez garant(e) de la qualité, de la performance et de la vélocité des développements de notre solution.

Une expérience sur des architectures est indispensable.



🔹 Contribuer à l’analyse des besoins et au choix des solutions techniques

🔹 Participer aux phases de chiffrage et d’estimation

🔹 Concevoir et développer des fonctionnalités de bout en bout (front-end et back-end)

🔹 Garantir la performance, la maintenabilité et la sécurité des applications

🔹 Être un acteur de la montée en compétence de l’équipe et les accompagner sur les sujets structurants et complexes

🔹 Garantir la qualité du code et de la documentation technique

🔹 Participer aux étapes de revue de code et le bon déploiement des composants applicatifs

🔹 Garantir le bon fonctionnement nominal des user stories développées





Java 17+, Angular 15+, Spring Boot 3+, MongoDB, SonarQube



Axon, Camunda, Kafka, PostgreSQL, Elasticsearch, Docker, Kubernetes (K8s), GitLab CI, CQRS / Event Sourcing



Agile, TDD, API-First, DDD





✔ Diplôme d’Ingénieur en développement logiciel

✔ Minimum 5 ans d’expérience en tant que développeur confirmé ou senior

✔ Forte appétence pour les architectures et technologies modernes

✔ Envie de s’investir dans la construction d’un progiciel de type place de marché



✨ Participation à la construction d’un progiciel innovant

✨ Mode de travail hybride

✨ Package attractif

✨ Réelles perspectives d’évolution de carrière",python developer
"Senior Full-Stack JS Developer (Node.js, React)",CobbleWeb - The Online Marketplace Experts,Grand Tunis Metropolitan Area,2025-06-27,https://tn.linkedin.com/jobs/view/senior-full-stack-js-developer-node-js-react-at-cobbleweb-the-online-marketplace-experts-4258456218?position=16&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=fyshCVyvEOR1ZRxikJ9ajw%3D%3D,"This position is 100% remote.

What are we looking for?

We are looking for solution focused individuals with a can-do attitude. Your commitment to continuous learning means you are tech agnostic – always looking for the best way to execute a project or task. You share our philosophy of purpose-driven development that ensures the best possible outcomes for our clients. Like us, you believe in a strong work ethic and take pride in the quality of your code. You see the big picture and strive for the sense of accomplishment that comes from successfully executing a new project, such as an online marketplace that is perfectly geared for growth. Last but not least, you enjoy collaborating with a team of equally motivated developers and digital strategists.







This is a %100 remote position available to candidates within +/- 3 hours from the UK time zone. Candidates are kindly requested to answer the below screening questions in their cover letter. Your responses will help us better understand your suitability for the role.",python developer
Senior Full Stack Developer,Visualis Media,Tunisia,2025-11-28,https://tn.linkedin.com/jobs/view/senior-full-stack-developer-at-visualis-media-4339229749?position=17&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=K3lC8lswgv%2B1hP3Sr%2FnSSw%3D%3D,"Job Description

We are looking for a highly skilled Full Stack Developer with expertise of high-performance and scalable websites using Next.js, React, along with experience in SQL, NoSQL databases and CMS frameworks. In this role, you will be responsible for implementing and maintaining high-performance web applications and you will collaborate closely with cross-functional teams to deliver innovative, responsive, and SEO-friendly web applications that align with business goals. This role requires deep technical expertise, leadership skills, and a passion for modern web development.",python developer
"Lead Full Stack Engineer (.Net, Vue/React) - Fully Remote",CoverGo | Insurtech,"Tunis, Tunisia",2025-11-26,https://tn.linkedin.com/jobs/view/lead-full-stack-engineer-net-vue-react-fully-remote-at-covergo-insurtech-4339165445?position=18&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=imXOqcxCXxE%2F7MyAUfSYHQ%3D%3D,"Top 3 Reasons To Join Us

Competitive Salary
International Environment




At CoverGo, our mission is to empower all insurance companies to make insurance 100% digital and accessible to everyone.





As the Lead Full Stack Engineer, you will take on a pivotal role in guiding the design, implementation, and maintenance of our innovative SaaS platform. You will provide technical direction to the team, working across both front-end and back-end technologies, ensuring scalable and efficient software solutions. Collaborate closely with cross-functional teams to understand end-user requirements, optimize application performance, and enforce best coding practices. Your role will encompass mentoring junior developers, driving innovation, and ensuring the continuous growth and success of our platform.













Video

By submitting your application, you confirm that you have read, understood, and accepted the content of CoverGo's Privacy Notice and you consent to the processing of your data as part of this application.",python developer
"Lead Full Stack Engineer (.Net, Vue/React) - Fully Remote",CoverGo | Insurtech,"Sousse, Sousse, Tunisia",2025-11-26,https://tn.linkedin.com/jobs/view/lead-full-stack-engineer-net-vue-react-fully-remote-at-covergo-insurtech-4339005553?position=19&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=62gSBHZAFVDqTOVOIUUYwQ%3D%3D,"Top 3 Reasons To Join Us

Competitive Salary
International Environment




At CoverGo, our mission is to empower all insurance companies to make insurance 100% digital and accessible to everyone.





As the Lead Full Stack Engineer, you will take on a pivotal role in guiding the design, implementation, and maintenance of our innovative SaaS platform. You will provide technical direction to the team, working across both front-end and back-end technologies, ensuring scalable and efficient software solutions. Collaborate closely with cross-functional teams to understand end-user requirements, optimize application performance, and enforce best coding practices. Your role will encompass mentoring junior developers, driving innovation, and ensuring the continuous growth and success of our platform.













Video

By submitting your application, you confirm that you have read, understood, and accepted the content of CoverGo's Privacy Notice and you consent to the processing of your data as part of this application.",python developer
"Lead Full Stack Engineer (.Net, Vue/React) - Fully Remote",CoverGo | Insurtech,"Ariana, Tunisia",2025-11-26,https://tn.linkedin.com/jobs/view/lead-full-stack-engineer-net-vue-react-fully-remote-at-covergo-insurtech-4339105540?position=20&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=otiniK2mP804TiUlkiSSjg%3D%3D,"Top 3 Reasons To Join Us

Competitive Salary
International Environment




At CoverGo, our mission is to empower all insurance companies to make insurance 100% digital and accessible to everyone.





As the Lead Full Stack Engineer, you will take on a pivotal role in guiding the design, implementation, and maintenance of our innovative SaaS platform. You will provide technical direction to the team, working across both front-end and back-end technologies, ensuring scalable and efficient software solutions. Collaborate closely with cross-functional teams to understand end-user requirements, optimize application performance, and enforce best coding practices. Your role will encompass mentoring junior developers, driving innovation, and ensuring the continuous growth and success of our platform.













Video

By submitting your application, you confirm that you have read, understood, and accepted the content of CoverGo's Privacy Notice and you consent to the processing of your data as part of this application.",python developer
"Lead Full Stack Engineer (.Net, Vue/React) - Fully Remote",CoverGo | Insurtech,"Sfax, Tunisia",2025-11-26,https://tn.linkedin.com/jobs/view/lead-full-stack-engineer-net-vue-react-fully-remote-at-covergo-insurtech-4339135399?position=21&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=1bCa2dB2PilwcXocI9yGXw%3D%3D,"Top 3 Reasons To Join Us

Competitive Salary
International Environment




At CoverGo, our mission is to empower all insurance companies to make insurance 100% digital and accessible to everyone.





As the Lead Full Stack Engineer, you will take on a pivotal role in guiding the design, implementation, and maintenance of our innovative SaaS platform. You will provide technical direction to the team, working across both front-end and back-end technologies, ensuring scalable and efficient software solutions. Collaborate closely with cross-functional teams to understand end-user requirements, optimize application performance, and enforce best coding practices. Your role will encompass mentoring junior developers, driving innovation, and ensuring the continuous growth and success of our platform.













Video

By submitting your application, you confirm that you have read, understood, and accepted the content of CoverGo's Privacy Notice and you consent to the processing of your data as part of this application.",python developer
Développeur Full Stack Senior,Atlas énergies,"Tunis, Tunis, Tunisia",2026-02-10,https://tn.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-senior-at-atlas-%C3%A9nergies-4360485820?position=22&pageNum=0&refId=vGBzXi8tYQTungcyjZRpBw%3D%3D&trackingId=F8eyo%2FJreDQXRKTsqSrkrQ%3D%3D,"À propos de l’entreprise

Atlas Energies est une scale-up en hypercroissance qui opère au cœur des piliers de la société moderne : l’énergie, la technologie et la performance.

Portée par une croissance à trois chiffres, notre ambition est claire : transformer durablement la manière dont les entreprises consomment et pilotent leur énergie.

Chaque jour, nous accompagnons PME, ETI et grands comptes pour mieux acheter, mieux consommer et mieux gérer leur énergie, en combinant expertise métier, technologie et excellence humaine.



Tu rejoins Atlas Energies pour jouer un rôle clé dans notre phase de croissance : industrialiser, automatiser et digitaliser les processus métiers afin de garantir performance, fiabilité et scalabilité sur le long terme. En tant que développeur full stack senior, ton rôle dépasse le code : tu conçois des architectures solides, automatises des flux complexes, connectes des outils et structures la data pour accompagner une croissance rapide et durable.











Ici, ton travail a un vrai impact, tu construis des systèmes au cœur du business, avec une forte autonomie, des responsabilités qui évoluent vite et une trajectoire claire vers des rôles techniques clés. Tu rejoins une équipe ambitieuse, un projet en pleine croissance, des bureaux vivants et pleins d’ambiance.





Atlas Énergies réunit l’humain et la technologie pour transformer la performance énergétique des entreprises.

Rejoindre Atlas Énergies, c’est intégrer une équipe en pleine croissance, où l’expertise métier rencontre l’innovation technologique.

Ici, chaque talent compte : tu participes directement à des projets qui ont un impact concret sur la transition énergétique des entreprises.",python developer
